probeset	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
YAL003W	1.905522e+01	7.413571e+00	1.332697e+01	1.621949e+01	2.261243e+01	2.177715e+01	2.446609e+01	3.245775e+01	4.298767e+01	2.408678e+01	2.490005e+01	1.989486e+01	
YAL004W	4.292713e-01	5.665392e-01	5.372107e-01	4.981611e-01	6.953719e-01	3.912995e-01	4.424023e-01	2.984489e-01	2.809447e-01	3.899690e-01	2.049263e-01	1.681131e-01	
YAL005C	9.626657e+01	1.041273e+02	1.101481e+02	9.834366e+01	1.081846e+02	7.218824e+01	7.925830e+01	7.823594e+01	7.467661e+01	7.144422e+01	7.525798e+01	6.090736e+01	
YAL007C	1.720929e+00	1.564296e+00	1.344580e+00	1.262261e+00	1.275747e+00	1.027854e+00	1.148506e+00	1.374993e+00	2.953094e+00	3.227141e+00	2.242577e+00	2.902512e+00	
YAL012W	1.169656e+01	2.564960e+00	5.078540e+00	4.461665e+00	4.998408e+00	4.604348e+00	6.376806e+00	2.210805e+01	2.255442e+01	1.471713e+01	1.535920e+01	1.363550e+01	
YAL017W	4.688188e+00	5.983944e+00	5.287001e+00	4.898130e+00	5.325991e+00	5.411382e+00	4.379981e+00	2.280862e+00	3.359107e+00	3.497649e+00	2.961410e+00	3.364017e+00	
YAL019W	6.911737e-01	3.928944e-01	5.564233e-01	4.476118e-01	5.957369e-01	7.431269e-01	7.920585e-01	2.144022e+00	2.989552e+00	1.226511e+00	1.014254e+00	1.223080e+00	
YAL022C	2.581272e+00	2.131942e+00	2.301478e+00	1.925975e+00	1.865403e+00	1.843699e+00	2.089053e+00	2.679467e+00	3.815299e+00	2.296642e+00	1.755737e+00	1.863348e+00	
YAL024C	6.915810e-01	7.044286e-01	5.364434e-01	6.188220e-01	4.643433e-01	5.508722e-01	4.474818e-01	7.655216e-01	1.374037e+00	1.176888e+00	1.031074e+00	1.086378e+00	
YAL025C	2.447644e-01	1.796980e-01	3.599094e-01	3.012836e-01	3.460565e-01	4.151661e-01	5.853585e-01	2.537919e+00	1.496702e+00	3.489119e-01	4.264345e-01	4.719604e-01	
YAL028W	8.459732e-01	2.162971e+00	2.151379e+00	1.887924e+00	1.862685e+00	1.644480e+00	1.948069e+00	8.959038e-01	4.799123e-01	4.228326e-01	3.250221e-01	3.214587e-01	
YAL029C	2.387258e+00	1.066222e+00	1.367923e+00	1.546613e+00	1.438933e+00	1.313548e+00	1.332714e+00	4.789830e+00	2.648190e+00	2.178162e+00	2.754045e+00	2.912669e+00	
YAL033W	2.910306e+00	1.921357e+00	1.808686e+00	1.656286e+00	1.900877e+00	1.634494e+00	1.726744e+00	2.754840e+00	4.820211e+00	2.469391e+00	3.036149e+00	2.924528e+00	
YAL034C	3.998084e+00	7.042648e+00	7.488078e+00	7.020942e+00	8.720106e+00	7.816264e+00	8.065723e+00	4.748554e+00	4.641183e+00	2.819499e+00	2.809089e+00	2.011503e+00	
YAL034W-A	9.478470e-01	9.149201e-01	6.025696e-01	4.182141e-01	6.210193e-01	3.805652e-01	4.701938e-01	4.015396e-01	1.013178e+00	1.046900e+00	1.237627e+00	9.871148e-01	
YAL035W	9.027066e+00	7.186509e+00	7.693642e+00	7.624957e+00	8.312414e+00	6.537043e+00	8.211062e+00	1.026089e+01	1.471758e+01	8.371775e+00	7.631771e+00	8.270800e+00	
YAL036C	2.064341e+00	6.938637e-01	2.533224e+00	2.897073e+00	4.110135e+00	4.074364e+00	6.040578e+00	1.222678e+01	9.436459e+00	3.398728e+00	3.317768e+00	4.199154e+00	
YAL038W	4.092406e+01	3.407542e+01	2.174828e+01	3.721472e+01	5.953220e+01	5.075220e+01	6.058191e+01	5.405611e+01	5.653140e+01	3.746738e+01	3.808969e+01	3.818702e+01	
